age,education,balance,housing,loan,day,duration,campaign,poutcome,deposit,marital_married,marital_single,contact_telephone,contact_unknown
34,1,4499,0,0,21,1681,1,0,1,1,0,0,1
30,3,1289,1,0,21,1697,2,0,1,0,1,0,1
32,3,4665,1,0,21,860,2,0,1,0,1,0,1
37,2,3326,1,0,21,799,1,0,1,0,1,0,1
32,2,783,1,0,21,923,3,0,1,1,0,0,1
33,2,0,1,0,21,521,3,0,1,1,0,0,1
35,1,994,1,0,23,1349,8,0,1,1,0,0,1
35,3,1354,1,0,23,736,2,0,1,0,0,0,1
30,2,239,1,0,23,785,1,0,1,0,1,0,1
45,1,-311,1,0,23,1030,1,0,1,0,0,0,1
45,2,149,1,0,23,893,3,0,1,1,0,0,1
33,2,1464,1,0,23,588,3,0,1,1,0,0,1
44,3,5773,0,0,23,597,6,0,1,0,0,0,1
40,1,278,1,0,23,1015,3,0,1,1,0,0,1
31,2,2910,1,0,23,1392,2,0,1,1,0,0,1
30,3,541,1,0,26,414,2,0,1,1,0,0,1
44,2,1262,1,0,26,788,11,0,1,0,0,0,1
34,2,-538,1,0,26,682,1,0,1,1,0,0,1
37,2,125,0,0,26,679,2,0,1,1,0,0,1
28,3,0,1,0,26,1560,2,0,1,0,1,0,1
32,2,620,1,0,26,1234,3,0,1,0,1,0,1
37,2,316,1,0,26,642,2,0,1,0,0,0,1
34,3,2287,1,0,26,895,4,0,1,1,0,0,1
38,2,198,1,0,26,431,2,0,1,0,0,0,1
28,2,460,1,0,26,741,6,0,1,0,1,0,1
31,3,1145,1,0,26,1272,4,0,1,0,0,0,1
59,2,-22,1,0,26,748,3,0,1,1,0,0,1
24,2,685,1,0,26,896,3,0,1,1,0,0,1
26,2,901,1,0,26,764,2,0,1,0,1,0,1
59,2,351,1,0,27,1063,5,0,1,0,1,0,1
30,1,0,1,1,27,1051,1,0,1,0,1,0,1
37,2,274,1,0,27,731,3,0,1,1,0,0,1
30,2,-213,1,1,27,751,1,0,1,0,1,0,1
25,2,97,1,0,27,709,1,0,1,1,0,0,1
44,2,51,1,1,27,3094,2,0,1,0,0,0,1
29,3,314,0,0,28,938,2,0,1,1,0,0,1
26,3,6840,1,0,28,1560,2,0,1,0,1,0,1
26,2,668,1,0,28,576,3,0,1,0,1,0,1
27,2,54,1,0,28,543,2,0,1,0,1,0,1
25,2,1242,1,0,28,615,2,0,1,0,1,0,1
28,2,292,1,0,28,507,1,0,1,1,0,0,1
23,2,665,1,0,28,1183,1,0,1,0,1,0,1
34,3,1058,1,0,28,864,2,0,1,0,1,0,1
28,2,949,1,0,28,1730,1,0,1,0,1,0,1
51,0,606,1,0,28,560,9,0,1,1,0,0,1
35,2,0,1,1,29,543,1,0,1,1,0,0,1
35,2,404,1,0,29,539,1,0,1,1,0,0,1
56,2,249,1,0,29,791,2,0,1,1,0,0,1
45,2,3354,1,0,29,746,1,0,1,0,0,0,1
60,2,0,1,0,29,1207,1,0,1,0,0,0,1
56,2,589,1,0,29,535,2,0,1,1,0,0,1
27,3,12956,1,0,29,789,3,0,1,0,1,0,1
30,2,873,1,0,29,792,3,0,1,1,0,0,1
45,1,594,1,0,29,833,2,0,1,0,0,0,1
29,2,-20,1,0,29,814,2,0,1,0,1,0,1
38,3,4692,1,0,29,1363,2,0,1,0,0,0,1
30,2,486,1,0,29,1109,3,0,1,1,0,0,1
44,1,1593,1,0,29,828,3,0,1,0,1,0,1
36,3,7606,1,0,30,917,1,0,1,0,1,0,1
38,2,226,1,0,30,762,3,0,1,1,0,0,1
36,2,366,1,1,30,1133,2,0,1,0,1,0,1
37,2,16,1,0,30,638,1,0,1,0,0,0,1
35,3,565,1,0,30,763,1,0,1,0,1,0,1
38,2,19,1,0,30,604,2,0,1,0,0,0,1
40,1,1082,1,0,30,854,2,0,1,1,0,0,1
42,2,1713,1,0,30,855,2,0,1,0,0,0,1
46,3,14481,1,0,30,1269,1,0,1,0,0,0,1
35,2,5724,1,0,30,691,10,0,1,0,0,0,1
34,2,1451,1,0,30,1097,15,0,1,0,0,0,1
32,2,-34,1,0,30,1236,2,0,1,1,0,0,1
50,2,3674,1,0,30,886,3,0,1,1,0,0,1
35,2,698,1,1,30,1343,3,0,1,1,0,0,1
36,2,4136,1,0,30,812,3,0,1,0,1,0,1
53,1,2656,1,0,30,1980,2,0,1,0,0,0,1
46,3,2904,1,0,30,984,2,0,1,0,1,0,1
26,3,1004,1,0,30,228,2,0,1,0,1,0,1
45,2,410,1,0,30,891,4,0,1,0,1,0,1
31,1,0,1,0,30,745,12,0,1,0,0,0,1
29,3,0,1,0,30,539,12,0,1,0,1,0,1
53,2,62,1,0,30,1044,5,0,1,0,1,0,1
27,1,416,1,0,30,1193,2,0,1,1,0,0,1
39,3,2763,1,0,2,526,2,0,1,1,0,0,1
36,2,2984,1,0,2,394,1,0,1,1,0,0,1
41,1,143,1,1,2,659,2,0,1,1,0,0,1
36,1,0,1,0,2,1036,1,0,1,1,0,0,1
32,2,696,1,0,2,815,1,0,1,1,0,0,1
35,2,152,1,0,2,563,1,0,1,1,0,0,1
36,3,-78,1,0,2,1068,1,0,1,0,1,0,1
35,3,867,1,0,2,230,3,0,1,1,0,0,1
30,2,953,1,0,2,747,2,0,1,0,1,0,1
42,2,443,1,0,2,671,5,0,1,1,0,0,1
42,2,-1129,1,0,2,555,5,0,1,0,1,0,1
32,1,415,1,0,2,777,4,0,1,1,0,0,1
29,2,260,1,0,2,707,14,0,1,0,1,0,1
44,3,-411,1,0,2,432,4,0,1,0,0,0,1
32,2,1279,1,0,3,1173,3,0,1,0,1,0,1
31,2,86,1,1,3,963,2,0,1,1,0,0,1
40,2,-754,1,1,3,941,3,0,1,1,0,0,1
43,2,0,0,0,3,1025,7,0,1,1,0,0,1
27,2,178,1,0,3,732,2,0,1,0,1,0,1
37,2,278,1,0,3,1045,3,0,1,0,1,0,1
23,2,425,1,0,3,768,1,0,1,0,1,0,1
25,1,168,1,0,3,801,1,0,1,1,0,0,1
26,2,-36,1,0,3,482,2,0,1,0,1,0,1
47,1,126,1,0,3,2456,2,0,1,0,0,0,1
35,2,-87,1,0,3,1363,7,0,1,1,0,0,1
32,3,6281,1,0,3,1336,4,0,1,0,1,0,1
45,2,644,1,0,4,633,1,0,1,0,0,0,1
30,2,377,1,0,4,524,15,0,1,0,0,0,1
29,2,-271,1,0,4,578,1,0,1,0,1,0,1
38,1,5839,1,0,4,984,2,0,1,1,0,0,1
23,2,492,1,0,4,638,1,0,1,0,1,0,1
27,3,99,1,0,4,767,2,0,1,0,1,0,1
27,3,-713,1,0,4,525,2,0,1,0,1,0,1
29,2,32,1,0,4,563,1,0,1,0,1,0,1
30,3,543,1,1,4,1449,6,0,1,1,0,0,1
36,1,403,1,0,4,920,1,0,1,1,0,0,1
35,2,437,1,0,4,908,1,0,1,0,0,0,1
36,2,1772,0,0,5,208,1,0,1,1,0,0,1
59,1,-88,1,0,5,910,2,0,1,0,0,0,1
47,2,0,0,0,5,1446,1,0,1,1,0,0,1
58,3,853,0,0,5,1149,2,0,1,1,0,0,1
37,3,240,0,0,5,1123,1,0,1,0,1,0,1
46,2,849,1,0,5,508,2,0,1,0,1,0,1
43,2,318,1,0,5,736,2,0,1,0,1,0,1
27,3,703,1,0,5,590,3,0,1,0,1,0,1
38,2,61,0,0,5,636,1,0,1,0,0,0,1
53,1,104,0,1,5,701,1,0,1,1,0,0,1
47,2,1996,0,0,5,761,2,0,1,1,0,0,1
56,1,1238,0,0,5,1558,1,0,1,0,0,0,1
41,2,879,0,0,5,1053,2,0,1,1,0,0,1
29,2,425,1,0,5,562,15,0,1,1,0,0,1
50,2,416,1,0,5,494,5,0,1,1,0,0,1
45,1,844,0,0,5,1018,3,0,1,0,0,0,1
35,2,860,1,0,5,884,4,0,1,1,0,0,1
26,2,639,1,0,6,709,5,0,1,0,1,0,1
26,2,710,1,1,6,1276,2,0,1,1,0,0,1
37,0,1508,0,1,6,381,2,0,1,1,0,0,1
30,2,223,1,0,6,862,11,0,1,0,1,0,1
38,3,619,1,0,6,460,4,0,1,0,1,0,1
37,2,319,1,0,6,467,3,0,1,0,0,0,1
53,2,480,0,0,6,648,2,0,1,1,0,0,1
29,1,213,1,0,6,2653,3,0,1,0,1,0,1
35,3,68,0,0,6,1085,1,0,1,0,1,0,1
28,2,2788,1,0,6,369,2,0,1,1,0,0,1
55,0,7561,0,0,6,685,3,0,1,1,0,0,1
49,2,-46,1,0,9,1055,10,0,1,0,0,0,1
50,2,1595,0,0,9,882,1,0,1,1,0,0,1
43,3,1046,0,0,9,901,1,0,1,0,1,0,1
58,3,1382,0,0,9,700,1,0,1,0,0,0,1
38,1,217,1,0,9,491,6,0,1,1,0,0,1
48,1,183,0,0,9,940,1,0,1,0,0,0,1
59,2,1321,0,0,9,3881,3,0,1,1,0,0,1
58,2,25,0,0,9,486,3,0,1,1,0,0,1
36,3,4844,0,0,9,1137,3,0,1,0,1,0,1
42,3,5345,0,0,11,878,3,0,1,1,0,0,1
41,2,812,0,1,11,583,4,0,1,0,1,0,1
42,2,105,0,0,11,1159,4,0,1,1,0,0,1
39,3,-190,0,1,11,893,8,0,1,1,0,0,1
57,1,625,0,1,11,867,1,0,1,1,0,0,1
52,0,293,0,0,11,706,1,0,1,1,0,0,1
59,0,1033,0,0,11,1199,1,0,1,1,0,0,1
56,2,1210,0,0,11,935,1,0,1,1,0,0,1
49,3,64,0,0,11,586,1,0,1,1,0,0,1
35,0,164,0,0,11,967,2,0,1,0,0,0,1
36,2,1766,0,0,11,595,2,0,1,1,0,0,1
40,3,1248,0,0,11,1290,2,0,1,0,1,0,1
55,2,0,0,0,12,614,2,0,1,1,0,0,1
58,2,826,0,0,12,885,1,0,1,1,0,0,1
39,3,2630,0,0,12,651,5,0,1,1,0,0,1
47,3,3727,0,0,12,993,6,0,1,0,1,0,1
40,2,406,1,0,12,577,2,0,1,1,0,0,1
35,3,2999,0,0,12,1141,6,0,1,1,0,0,1
48,2,1000,1,0,12,1268,2,0,1,1,0,0,1
48,3,503,0,1,12,1243,7,0,1,0,0,0,1
24,2,-203,1,0,12,465,3,0,1,0,1,0,1
49,1,361,1,0,16,513,2,0,1,1,0,0,1
36,2,274,1,0,16,686,11,0,1,1,0,0,1
52,3,3687,1,1,16,741,4,0,1,0,0,0,1
42,0,323,0,0,16,617,1,0,1,0,1,0,1
36,2,981,0,0,16,1093,1,0,1,1,0,0,1
36,2,638,1,0,16,1395,2,0,1,0,0,0,1
48,3,3229,0,0,16,1089,1,0,1,0,1,0,1
51,2,1610,1,0,16,1248,3,0,1,0,1,0,1
51,2,33,0,1,16,721,3,0,1,1,0,0,1
46,2,536,1,0,16,750,2,0,1,1,0,0,1
37,3,0,0,0,16,637,6,0,1,1,0,0,1
36,3,3057,0,0,16,2769,4,0,1,1,0,0,1
47,2,2892,0,0,17,556,1,0,1,1,0,0,1
40,3,0,0,0,17,522,1,0,1,0,0,0,1
38,3,3316,0,0,17,1345,3,0,1,0,1,0,1
40,2,106,0,0,17,676,2,0,1,1,0,0,1
39,1,2303,1,0,17,775,3,0,1,1,0,0,1
60,3,3301,0,0,17,2621,3,0,1,1,0,0,1
39,3,426,0,0,18,1029,1,0,1,0,1,0,1
51,2,9,0,0,18,371,2,0,1,0,0,0,1
27,2,-97,1,0,18,1528,2,0,1,1,0,0,1
41,3,11008,0,0,18,1540,1,0,1,0,1,0,1
42,1,4930,0,0,18,973,1,0,1,0,1,0,1
41,2,707,0,0,18,707,1,0,1,1,0,0,1
33,2,4,1,1,18,625,2,0,1,1,0,0,1
46,2,126,0,0,18,1255,1,0,1,1,0,0,1
31,2,671,1,0,18,704,4,0,1,1,0,0,1
41,1,219,0,1,18,1574,3,0,1,1,0,0,1
41,2,3622,0,0,19,1135,4,0,1,0,0,0,1
55,2,1580,0,1,19,1007,1,0,1,0,0,0,1
53,2,1319,0,0,19,1318,3,0,1,1,0,0,1
55,1,2152,0,0,19,922,2,0,1,1,0,0,1
39,2,2843,1,0,19,585,1,0,1,1,0,0,1
40,3,0,0,0,19,952,4,0,1,1,0,0,1
59,1,1115,0,0,19,834,1,0,1,1,0,0,1
42,2,625,0,0,19,651,3,0,1,0,1,0,1
41,1,246,0,0,19,683,3,0,1,1,0,0,1
27,2,61,1,0,19,1012,1,0,1,1,0,0,1
25,2,-191,1,0,19,958,7,0,1,0,1,0,1
43,1,519,0,0,20,973,2,0,1,1,0,0,1
44,2,522,0,1,20,911,1,0,1,1,0,0,1
26,2,-46,1,0,20,382,7,0,1,0,1,0,1
52,3,2269,0,0,20,1210,1,0,1,1,0,0,1
54,0,386,0,1,20,838,1,0,1,1,0,0,1
56,3,0,0,1,20,422,1,0,1,1,0,0,1
57,3,9103,0,1,20,1098,2,0,1,1,0,0,1
29,2,908,1,0,20,1663,1,0,1,0,1,0,1
47,3,1694,0,1,20,560,3,0,1,1,0,0,1
57,3,-92,1,1,20,1617,1,0,1,1,0,0,1
40,2,188,1,1,20,570,2,0,1,1,0,0,1
46,2,0,0,0,20,1023,3,0,1,0,0,0,1
43,2,740,1,0,20,585,2,0,1,0,1,0,1
45,3,655,0,0,20,693,3,0,1,1,0,0,1
24,2,867,1,0,20,546,10,0,1,1,0,0,1
40,2,1009,1,1,20,1036,5,0,1,1,0,0,1
38,0,6360,0,0,20,1409,2,0,1,0,0,0,1
36,3,4145,0,0,20,988,4,0,1,1,0,0,1
27,2,-27,0,0,23,498,2,0,1,0,1,0,1
26,1,-122,1,0,23,670,3,0,1,0,1,0,1
43,3,149,1,0,23,662,2,0,1,1,0,0,1
25,1,52,1,0,24,528,2,0,1,0,1,0,1
27,3,335,1,0,26,519,3,0,1,1,0,0,1
30,3,526,1,1,26,677,3,0,1,1,0,0,1
28,2,-7,0,1,26,3183,2,0,1,0,1,0,1
27,1,-413,0,1,27,422,6,0,1,1,0,0,1
32,2,-241,0,1,27,856,2,0,1,0,0,0,1
41,2,75,1,0,1,479,9,0,1,0,1,0,1
37,3,0,0,0,1,1135,2,0,1,0,1,0,1
27,2,158,0,0,1,650,2,0,1,0,1,0,1
29,2,84,0,1,3,587,3,0,1,0,1,0,1
33,2,114,0,1,3,676,1,0,1,1,0,0,1
36,1,0,0,0,4,584,1,0,1,1,0,0,1
28,2,-127,1,0,4,1044,3,0,1,0,1,0,0
55,2,49,1,0,7,494,4,0,1,1,0,0,0
51,2,216,0,0,7,615,2,0,1,1,0,0,0
39,2,506,1,0,7,718,2,0,1,0,1,0,0
42,1,213,1,0,7,434,3,0,1,0,0,0,0
33,2,170,0,0,7,782,1,0,1,0,1,0,0
36,3,776,0,1,7,722,3,0,1,0,0,0,0
45,2,879,0,0,7,621,2,0,1,1,0,0,0
37,2,1633,0,0,7,629,2,0,1,1,0,0,0
46,2,926,0,0,7,385,5,0,1,1,0,0,0
32,3,2559,0,0,7,889,1,0,1,0,1,0,0
28,2,909,0,1,7,532,1,0,1,0,1,0,0
45,2,-176,0,1,7,574,1,0,1,0,0,0,0
41,2,1085,1,1,7,599,1,0,1,0,1,0,0
59,1,1265,0,1,7,849,1,0,1,0,0,0,0
47,2,-239,1,1,7,973,3,0,1,0,1,0,0
31,2,726,0,0,7,719,2,0,1,0,1,0,0
31,3,296,0,1,8,509,4,0,1,0,1,0,0
33,2,-627,1,1,8,740,1,0,1,1,0,0,0
52,3,-468,0,0,8,534,1,0,1,1,0,0,0
26,2,551,0,0,8,531,1,0,1,0,1,0,0
25,2,0,0,1,8,634,1,0,1,0,1,0,0
25,2,101,0,1,8,460,3,0,1,1,0,0,0
28,2,517,0,1,8,681,1,0,1,0,1,0,0
33,3,37,0,1,8,1082,1,0,1,0,0,0,0
45,3,854,0,1,8,730,1,0,1,0,0,0,0
36,2,30,0,1,8,716,5,0,1,1,0,0,0
26,2,81,0,1,8,803,2,0,1,0,1,0,0
38,2,0,0,0,8,635,1,0,1,1,0,0,0
56,2,663,0,1,8,819,3,0,1,0,1,0,0
26,2,102,0,1,8,658,2,0,1,0,1,0,0
26,2,370,0,1,8,1061,4,0,1,1,0,0,0
25,2,189,0,1,8,687,2,0,1,0,1,0,0
26,2,111,0,0,9,537,1,0,1,0,1,0,0
40,1,665,1,0,9,781,1,0,1,1,0,0,0
37,1,214,1,0,9,645,1,0,1,1,0,0,0
43,1,0,0,0,9,1242,1,0,1,0,1,0,0
41,3,1583,1,0,9,662,1,0,1,0,0,0,0
49,2,0,0,1,9,625,1,0,1,1,0,0,0
29,3,0,0,1,9,426,3,0,1,0,0,0,0
39,2,687,1,0,9,869,1,0,1,0,0,0,0
38,3,327,1,1,9,556,5,0,1,1,0,0,0
26,2,-119,0,1,9,359,5,0,1,1,0,0,0
32,3,794,1,1,9,1014,1,0,1,1,0,0,0
33,1,-191,1,1,9,1290,4,0,1,1,0,0,0
31,3,409,0,1,9,564,5,0,1,0,1,0,0
49,1,3,0,1,9,1439,6,0,1,1,0,0,0
27,1,9,0,1,9,919,2,0,1,0,1,0,0
30,2,155,1,1,9,1426,3,0,1,0,1,0,0
35,2,1330,0,0,10,901,1,0,1,1,0,0,0
26,2,-29,1,0,10,998,4,0,1,0,1,0,0
45,0,3133,1,1,10,804,1,0,1,1,0,0,0
34,2,-33,1,1,10,961,1,0,1,1,0,0,0
28,2,-170,0,1,10,720,2,0,1,0,1,0,0
25,2,1243,0,1,10,1341,7,0,1,0,1,0,0
30,2,1598,1,0,10,634,1,0,1,0,1,0,0
30,2,5,0,1,10,829,5,0,1,1,0,0,0
47,2,367,1,0,10,476,4,0,1,1,0,0,0
57,2,658,0,0,10,724,1,0,1,0,0,0,0
38,3,1722,1,0,10,500,1,0,1,1,0,0,0
54,2,-315,0,1,10,2029,1,0,1,1,0,0,0
25,1,2483,0,0,10,1499,3,0,1,0,1,0,0
30,2,0,1,1,10,1399,1,0,1,1,0,0,0
26,3,45,0,0,10,1187,3,0,1,0,1,0,0
31,1,46,1,0,10,487,1,0,1,1,0,0,0
29,2,482,0,1,10,1097,3,0,1,0,1,0,0
49,2,3728,1,0,11,1060,2,0,1,1,0,0,0
60,2,1099,0,0,11,764,2,0,1,0,0,0,0
60,3,2222,1,0,11,1120,2,0,1,1,0,0,0
29,3,983,1,0,11,963,2,0,1,0,1,0,0
55,2,204,1,0,11,1973,2,0,1,0,0,0,0
44,2,1074,1,0,11,911,2,0,1,1,0,0,0
47,2,3466,1,0,11,853,2,0,1,1,0,0,0
35,2,-203,1,0,11,1649,2,0,1,1,0,0,0
35,2,2436,0,1,14,1397,3,0,1,1,0,0,0
38,2,976,1,0,14,766,3,0,1,1,0,0,0
34,3,146,1,0,14,788,2,0,1,1,0,0,0
50,2,156,0,1,14,1130,3,0,1,1,0,0,0
43,3,189,1,0,14,1062,4,0,1,1,0,0,0
44,2,163,1,0,14,1669,2,0,1,0,0,0,0
51,2,242,0,1,14,1336,4,0,1,0,0,0,0
31,2,1173,1,0,14,444,3,0,1,1,0,0,0
39,3,0,1,0,14,894,7,0,1,1,0,0,0
59,3,296,0,1,15,805,3,0,1,1,0,0,0
25,2,333,0,1,15,1056,2,0,1,0,1,0,0
58,3,3864,1,0,15,815,4,0,1,1,0,0,0
30,1,2686,1,0,15,808,3,0,1,1,0,0,0
34,1,-109,1,0,15,860,4,0,1,0,1,0,0
51,2,65,0,1,15,881,1,0,1,0,0,0,0
60,2,597,0,0,15,981,1,0,1,1,0,0,0
51,2,-799,0,1,15,1001,3,0,1,1,0,0,0
37,3,1775,0,0,15,514,5,0,1,0,0,0,0
30,1,0,0,0,15,716,3,0,1,0,1,0,0
46,2,-563,0,1,15,769,4,0,1,0,0,0,0
29,3,5,0,0,15,889,5,0,1,0,1,0,0
27,3,139,0,0,15,448,5,0,1,1,0,0,0
28,3,0,1,0,16,767,5,0,1,0,1,0,0
34,2,855,1,0,16,578,1,0,1,0,1,0,0
29,0,694,1,1,16,1806,4,0,1,0,1,0,0
27,3,151,1,0,16,496,1,0,1,0,1,0,0
26,2,354,0,0,16,586,1,0,1,0,1,0,0
36,3,673,1,0,16,689,1,0,1,1,0,0,0
44,1,1265,1,0,16,555,1,0,1,1,0,0,0
39,3,597,0,0,16,686,6,0,1,1,0,0,0
30,2,-393,1,1,16,435,1,0,1,1,0,0,0
31,3,256,1,0,16,873,2,0,1,0,0,0,0
56,1,0,1,0,16,1222,1,0,1,1,0,0,0
29,2,2870,1,0,16,988,1,0,1,1,0,0,0
43,2,184,0,1,16,1019,11,0,1,1,0,0,0
32,2,1905,1,0,16,709,2,0,1,1,0,0,0
30,2,-36,0,0,16,561,9,0,1,0,1,0,0
40,2,-839,1,1,16,1018,2,0,1,1,0,0,0
42,2,3465,1,1,16,1039,2,0,1,1,0,0,0
27,2,119,1,0,16,781,2,0,1,1,0,0,0
35,3,36,0,1,16,1656,5,0,1,1,0,0,0
35,1,113,1,0,17,923,2,0,1,1,0,0,0
