person_age,person_gender,person_education,person_income,loan_amnt,loan_int_rate,credit_score,previous_loan_defaults_on_file,loan_status,person_home_ownership_MORTGAGE,person_home_ownership_OWN,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE
24.0,1,3,53825.0,25000.0,15.33,652,0,1,0,0,1,0,0,0,0,0
23.0,1,1,60801.0,25000.0,11.83,658,0,1,0,0,0,0,0,0,0,1
22.0,1,1,60747.0,25000.0,10.36,634,0,1,0,0,0,0,0,0,0,1
22.0,0,1,61029.0,25000.0,12.23,623,0,1,0,0,0,0,0,0,0,1
22.0,0,2,63236.0,25000.0,11.11,635,0,1,0,0,0,1,0,0,0,0
23.0,0,3,17149.0,4950.0,7.9,531,0,1,0,1,1,0,0,0,0,0
24.0,0,4,265066.0,25000.0,11.58,665,1,0,1,0,0,1,0,0,0,0
23.0,1,2,260205.0,21000.0,8.9,703,0,0,1,0,1,0,0,0,0,0
25.0,0,2,260035.0,25000.0,16.07,585,1,0,1,0,0,1,0,0,0,0
26.0,0,3,260444.0,20000.0,14.22,594,0,0,1,0,0,1,0,0,0,0
23.0,1,3,258980.0,35000.0,14.79,618,1,0,1,0,0,0,0,1,0,0
26.0,1,1,259081.0,12000.0,7.88,626,1,0,1,0,0,1,0,0,0,0
23.0,1,1,63497.0,25000.0,13.22,695,0,1,0,0,0,0,0,0,1,0
26.0,0,5,56325.0,25000.0,11.86,690,0,1,0,0,1,0,0,0,0,0
22.0,1,3,64842.0,25000.0,13.43,574,0,1,0,0,0,1,0,0,0,0
26.0,0,1,57856.0,25000.0,15.28,602,0,1,0,0,0,0,1,0,0,0
23.0,1,2,57318.0,25000.0,17.93,679,0,1,0,0,0,0,0,0,0,1
23.0,0,1,16916.0,1400.0,9.25,615,0,0,1,0,0,1,0,0,0,0
21.0,1,4,16664.0,4500.0,12.98,601,0,1,0,1,0,0,0,0,0,1
22.0,1,2,252803.0,16000.0,10.62,577,1,0,1,0,0,0,0,0,0,1
26.0,0,2,253061.0,22000.0,11.83,588,1,0,0,1,0,0,0,0,1,0
26.0,1,3,58602.0,25000.0,18.43,595,0,1,0,0,0,0,0,0,0,1
22.0,1,1,67012.0,25000.0,11.01,653,0,1,0,0,0,1,0,0,0,0
24.0,0,4,66643.0,25000.0,11.01,663,0,1,0,0,0,0,1,0,0,0
23.0,1,3,66599.0,25000.0,11.36,653,0,1,0,0,0,1,0,0,0,0
23.0,1,2,67212.0,25000.0,15.65,598,0,1,0,0,0,1,0,0,0,0
24.0,0,1,66918.0,25000.0,13.22,630,0,1,0,0,0,0,0,0,1,0
26.0,1,2,68066.0,25000.0,12.87,637,0,1,0,0,1,0,0,0,0,0
24.0,1,2,245545.0,20000.0,13.04,660,1,0,0,1,0,0,0,1,0,0
23.0,1,2,229083.0,22000.0,17.58,639,0,1,1,0,0,1,0,0,0,0
23.0,1,1,17859.0,7750.0,17.04,626,0,1,0,1,0,0,0,0,1,0
24.0,0,2,72608.0,25000.0,10.99,612,0,1,0,0,0,0,0,0,1,0
24.0,1,3,73073.0,25000.0,11.11,628,0,1,0,0,0,0,0,0,1,0
26.0,0,4,65880.0,25000.0,14.83,592,0,1,0,0,1,0,0,0,0,0
23.0,1,1,17755.0,4000.0,11.01,580,0,1,0,1,1,0,0,0,0,0
24.0,1,3,241180.0,12000.0,12.69,634,0,0,0,0,0,0,0,1,0,0
24.0,1,2,240894.0,12000.0,13.49,678,0,0,1,0,0,0,1,0,0,0
21.0,1,1,240980.0,16000.0,14.65,557,1,0,1,0,0,1,0,0,0,0
25.0,1,3,65742.0,25000.0,16.82,672,0,1,0,0,0,0,1,0,0,0
23.0,1,3,72713.0,25000.0,12.73,613,0,1,0,0,0,0,0,0,1,0
23.0,1,1,72627.0,25000.0,10.25,566,0,1,0,0,0,0,0,0,1,0
21.0,1,2,72843.0,25000.0,10.99,718,0,1,0,0,0,1,0,0,0,0
25.0,1,1,75504.0,25000.0,12.73,484,0,1,0,0,0,0,0,1,0,0
22.0,0,1,68824.0,25000.0,14.96,634,0,1,0,0,0,0,1,0,0,0
23.0,0,3,241167.0,28000.0,11.01,653,1,0,1,0,0,1,0,0,0,0
21.0,1,3,241060.0,25000.0,13.99,699,0,0,1,0,1,0,0,0,0,0
24.0,1,1,240855.0,24000.0,7.49,656,1,0,1,0,0,0,0,0,0,1
26.0,1,1,241030.0,15000.0,14.79,626,1,0,1,0,0,1,0,0,0,0
25.0,1,1,240895.0,15500.0,11.99,659,0,0,1,0,1,0,0,0,0,0
24.0,0,1,240932.0,10000.0,8.49,604,1,0,0,0,0,1,0,0,0,0
24.0,1,2,80145.0,25000.0,9.91,636,0,1,0,0,0,1,0,0,0,0
22.0,1,4,80303.0,25000.0,13.06,554,0,1,0,0,0,1,0,0,0,0
22.0,1,1,241048.0,9000.0,6.17,587,1,0,1,0,1,0,0,0,0,0
144.0,1,2,241424.0,6000.0,11.86,807,0,0,1,0,0,1,0,0,0,0
25.0,1,3,241005.0,18000.0,16.32,708,1,0,0,0,0,1,0,0,0,0
25.0,0,4,240768.0,12000.0,10.38,669,1,0,1,0,0,0,0,0,0,1
25.0,1,2,241201.0,23050.0,14.35,578,0,0,1,0,0,0,0,0,1,0
24.0,1,3,240920.0,20000.0,11.01,615,0,0,1,0,1,0,0,0,0,0
24.0,0,4,72919.0,25000.0,11.01,553,0,1,0,0,1,0,0,0,0,0
21.0,1,4,18008.0,3000.0,11.01,635,0,1,0,1,0,0,1,0,0,0
26.0,0,2,81238.0,25000.0,15.21,531,0,1,0,0,0,0,0,0,1,0
23.0,1,1,80868.0,25000.0,7.9,621,0,1,0,0,0,1,0,0,0,0
24.0,1,3,81537.0,25000.0,10.99,674,0,1,0,0,0,0,0,0,0,1
24.0,0,2,82741.0,25000.0,14.09,688,0,1,0,0,0,0,0,0,1,0
25.0,0,1,83901.0,25000.0,17.49,597,0,1,0,0,0,0,0,0,1,0
25.0,1,2,240717.0,12000.0,11.48,640,0,0,1,0,0,1,0,0,0,0
26.0,0,2,226744.0,20000.0,17.74,621,0,1,1,0,0,0,0,0,0,1
26.0,0,3,241114.0,3000.0,13.92,608,1,0,1,0,0,0,0,0,1,0
25.0,1,3,85284.0,25000.0,15.21,653,0,1,0,0,0,1,0,0,0,0
22.0,0,3,18152.0,4000.0,10.99,585,0,1,0,1,0,0,0,1,0,0
24.0,0,1,84871.0,25000.0,11.86,569,0,1,0,0,0,1,0,0,0,0
24.0,1,3,18294.0,6000.0,7.49,587,0,1,0,1,0,0,0,0,1,0
24.0,1,3,68029.0,25000.0,16.49,631,0,1,0,0,0,0,0,1,0,0
25.0,0,1,80001.0,25000.0,15.33,592,0,1,0,0,0,0,0,0,0,1
26.0,0,1,79875.0,25000.0,11.58,679,0,1,0,0,0,0,1,0,0,0
25.0,1,1,18449.0,5375.0,5.79,645,0,1,0,1,0,1,0,0,0,0
25.0,1,2,88153.0,25000.0,13.11,669,0,1,0,0,0,0,0,1,0,0
23.0,0,3,90109.0,25000.0,10.36,653,0,1,0,0,0,0,0,1,0,0
25.0,1,3,90938.0,25000.0,10.36,577,0,1,0,0,1,0,0,0,0,0
24.0,1,1,231335.0,22000.0,11.01,668,1,0,0,0,0,0,0,1,0,0
21.0,1,3,231829.0,20000.0,6.54,629,0,0,1,0,0,0,0,0,0,1
25.0,0,2,230516.0,10000.0,12.53,643,0,0,1,0,0,0,0,1,0,0
26.0,1,3,229626.0,15000.0,11.01,626,0,0,1,0,0,0,0,0,1,0
22.0,1,3,228907.0,10000.0,11.01,560,1,0,1,0,0,0,0,0,0,1
24.0,1,3,90938.0,25000.0,10.25,648,0,1,0,0,0,1,0,0,0,0
22.0,1,2,86284.0,25000.0,15.95,648,0,1,0,0,0,1,0,0,0,0
26.0,1,2,228774.0,20000.0,12.18,669,1,0,1,0,0,0,0,0,0,1
23.0,1,1,229027.0,24000.0,11.83,536,1,0,0,1,0,0,0,0,1,0
23.0,1,1,94789.0,25000.0,11.01,548,0,1,0,0,1,0,0,0,0,0
23.0,0,4,94780.0,25000.0,10.62,667,0,1,0,0,0,0,0,0,0,1
23.0,1,1,95298.0,25000.0,10.74,676,0,1,0,0,0,0,0,0,0,1
25.0,1,2,223944.0,10000.0,10.25,570,1,0,0,1,0,0,0,0,0,1
24.0,1,1,222629.0,35000.0,12.42,623,0,0,1,0,0,1,0,0,0,0
25.0,0,3,222973.0,15000.0,15.27,652,1,0,0,0,0,0,0,0,0,1
24.0,0,1,75240.0,25000.0,15.33,625,0,1,0,0,0,0,0,1,0,0
23.0,0,1,96143.0,25000.0,15.21,642,0,1,0,0,0,0,0,0,0,1
21.0,1,3,18064.0,6250.0,14.72,580,0,1,0,1,0,0,0,0,0,1
24.0,1,2,96627.0,25000.0,15.7,622,0,1,0,0,0,0,0,0,1,0
24.0,1,3,96309.0,25000.0,13.35,581,0,1,0,0,0,1,0,0,0,0
21.0,0,1,18421.0,1500.0,11.01,623,0,0,1,0,0,0,0,1,0,0
24.0,1,4,96836.0,25000.0,6.62,583,0,1,0,0,0,1,0,0,0,0
26.0,1,3,96947.0,25000.0,13.61,645,0,1,0,0,1,0,0,0,0,0
22.0,0,2,222975.0,25000.0,11.36,593,1,0,0,0,0,0,0,1,0,0
26.0,1,2,222985.0,5000.0,7.68,659,1,0,0,1,0,0,0,0,1,0
24.0,0,3,223064.0,22000.0,14.46,655,1,0,0,0,0,0,1,0,0,0
23.0,1,2,221559.0,2500.0,11.83,583,1,0,0,1,0,1,0,0,0,0
24.0,0,2,207712.0,20000.0,13.47,582,0,1,1,0,1,0,0,0,0,0
24.0,0,3,220872.0,20000.0,11.49,504,1,0,1,0,0,0,0,1,0,0
22.0,1,1,220518.0,1000.0,11.01,551,1,0,1,0,0,1,0,0,0,0
25.0,0,2,220510.0,15000.0,6.03,529,1,0,1,0,0,0,0,0,1,0
23.0,0,3,89818.0,25000.0,16.35,674,0,1,0,0,1,0,0,0,0,0
26.0,0,1,90006.0,25000.0,11.01,595,0,1,0,0,1,0,0,0,0,0
25.0,0,1,98704.0,25000.0,7.29,597,0,1,0,0,1,0,0,0,0,0
23.0,1,1,98967.0,25000.0,11.36,566,0,1,0,0,0,0,0,1,0,0
24.0,1,1,99435.0,25000.0,10.25,666,0,0,0,0,0,0,0,0,0,1
24.0,0,3,100658.0,25000.0,11.12,695,0,0,0,0,0,1,0,0,0,0
24.0,0,3,100435.0,25000.0,12.92,576,1,0,0,0,0,0,0,0,1,0
24.0,1,1,216925.0,18000.0,18.64,651,1,0,0,0,0,1,0,0,0,0
23.0,0,3,216891.0,28000.0,7.51,633,1,0,1,0,0,0,0,0,1,0
23.0,1,4,18512.0,4000.0,16.7,566,0,1,0,1,0,0,1,0,0,0
22.0,1,4,18367.0,2100.0,11.14,583,0,0,0,1,0,0,0,0,1,0
22.0,0,2,102317.0,25000.0,18.3,586,1,0,0,0,0,0,0,0,1,0
24.0,0,2,103400.0,25000.0,10.62,592,1,0,0,0,0,0,0,1,0,0
24.0,1,3,217134.0,14000.0,11.99,598,1,0,1,0,0,0,0,0,0,1
26.0,1,4,217024.0,12000.0,9.63,637,1,0,1,0,0,0,0,0,0,1
25.0,0,1,172215.0,10000.0,18.25,628,0,1,1,0,0,0,0,1,0,0
23.0,1,4,18831.0,6000.0,11.01,667,0,1,1,0,1,0,0,0,0,0
24.0,1,2,105349.0,25000.0,14.84,621,1,0,0,0,0,0,1,0,0,0
24.0,1,3,91184.0,25000.0,14.7,668,0,1,0,0,0,0,0,0,0,1
23.0,0,1,91886.0,25000.0,16.02,544,0,1,0,0,1,0,0,0,0,0
23.0,1,2,80452.0,25000.0,15.37,699,0,1,0,0,0,0,0,1,0,0
25.0,0,3,108758.0,25000.0,10.99,611,0,0,0,0,0,0,0,1,0,0
21.0,1,2,18916.0,6200.0,7.9,615,0,1,0,1,0,0,1,0,0,0
26.0,0,1,217234.0,25000.0,10.99,559,1,0,0,1,0,0,0,0,1,0
24.0,0,1,217017.0,21000.0,11.48,577,1,0,0,1,0,1,0,0,0,0
25.0,1,1,216874.0,20000.0,14.26,657,1,0,0,1,0,0,0,1,0,0
26.0,1,2,216833.0,10000.0,8.0,676,1,0,0,1,0,0,1,0,0,0
25.0,1,3,216483.0,9950.0,11.26,601,0,0,1,0,0,0,0,0,0,1
23.0,0,4,19000.0,4475.0,11.01,647,0,1,0,1,0,0,0,1,0,0
23.0,0,4,94363.0,25000.0,16.32,576,0,1,0,0,0,0,0,0,0,1
25.0,1,4,80570.0,25000.0,17.93,612,0,1,0,0,0,0,0,1,0,0
23.0,1,3,109167.0,25000.0,11.36,678,0,0,0,0,1,0,0,0,0,0
24.0,0,2,95753.0,25000.0,14.96,542,0,1,0,0,1,0,0,0,0,0
24.0,0,2,110935.0,25000.0,13.43,709,1,0,0,0,0,0,0,0,1,0
25.0,1,2,111490.0,25000.0,12.69,622,1,0,0,0,0,0,1,0,0,0
24.0,1,2,111729.0,25000.0,12.73,642,1,0,0,0,0,0,0,0,0,1
23.0,0,1,113396.0,25000.0,15.21,660,0,0,0,0,0,0,0,0,0,1
23.0,0,3,19175.0,1750.0,12.68,587,1,0,1,0,0,0,0,1,0,0
23.0,0,1,85787.0,25000.0,19.04,646,0,1,0,0,0,0,0,1,0,0
25.0,0,4,102114.0,25000.0,15.95,637,0,1,0,0,1,0,0,0,0,0
26.0,1,3,211005.0,2600.0,8.9,718,0,0,1,0,0,0,0,0,0,1
25.0,1,4,210903.0,8000.0,7.9,588,1,0,1,0,0,0,1,0,0,0
22.0,1,2,210555.0,18000.0,11.01,652,0,0,1,0,0,1,0,0,0,0
23.0,1,3,210937.0,21000.0,11.99,620,1,0,1,0,0,0,0,0,1,0
23.0,1,1,19062.0,4000.0,13.98,667,0,1,0,1,1,0,0,0,0,0
23.0,0,2,18926.0,4600.0,10.99,688,0,1,0,1,0,0,0,0,0,1
22.0,1,2,106694.0,25000.0,15.58,667,0,1,0,0,1,0,0,0,0,0
25.0,1,4,90718.0,25000.0,10.99,692,0,1,0,0,0,0,0,1,0,0
25.0,1,3,106668.0,25000.0,14.96,562,0,1,0,0,0,0,0,0,0,1
25.0,1,1,19158.0,1750.0,15.31,625,1,0,0,1,0,0,1,0,0,0
26.0,1,1,106419.0,25000.0,15.65,649,0,1,0,0,0,0,0,0,0,1
25.0,0,1,120696.0,25000.0,9.33,545,1,0,0,0,0,0,0,0,0,1
23.0,1,1,19065.0,3600.0,13.47,540,0,1,1,0,0,0,0,0,1,0
24.0,0,2,124083.0,25000.0,10.36,637,1,0,0,0,0,0,0,0,1,0
24.0,1,2,111673.0,25000.0,16.77,600,0,1,0,0,0,0,1,0,0,0
23.0,1,1,112633.0,25000.0,14.59,633,0,1,0,0,1,0,0,0,0,0
22.0,1,1,210938.0,3500.0,11.91,588,0,0,0,0,0,0,0,0,0,1
23.0,0,2,210720.0,7200.0,8.38,624,1,0,1,0,0,1,0,0,0,0
25.0,1,1,210705.0,9000.0,10.59,525,1,0,0,0,0,0,0,0,0,1
25.0,1,1,209997.0,8800.0,14.27,616,1,0,1,0,1,0,0,0,0,0
26.0,0,4,209873.0,12000.0,12.53,675,0,0,0,0,1,0,0,0,0,0
25.0,0,2,195268.0,25000.0,16.0,662,0,1,1,0,1,0,0,0,0,0
26.0,1,4,209393.0,10000.0,11.71,585,1,0,1,0,0,0,0,0,0,1
21.0,1,4,18773.0,3175.0,11.54,686,0,1,0,1,0,0,1,0,0,0
25.0,0,3,116439.0,25000.0,15.68,595,0,1,0,0,0,0,1,0,0,0
21.0,0,2,19169.0,1500.0,10.59,537,1,0,1,0,0,1,0,0,0,0
24.0,0,1,118417.0,25000.0,12.61,625,0,1,0,0,0,0,1,0,0,0
26.0,0,1,133476.0,25000.0,11.01,641,1,0,0,0,0,0,0,0,1,0
23.0,0,2,19312.0,2800.0,8.49,661,0,1,1,0,0,0,0,0,1,0
25.0,1,1,192351.0,30000.0,17.27,577,0,1,0,0,0,0,0,0,1,0
