Age,Gender,Department,Job_Title,Years_at_Company,Satisfaction_Level,Average_Monthly_Hours,Promotion_Last_5Years,Salary,Cluster_Label
47,0,2,4,7,0.0266186381432422,182,1,33931,2
47,1,4,0,8,0.8001095367077115,196,1,51668,2
25,0,2,4,4,0.7015932931636033,194,0,80690,1
50,1,0,2,5,0.6569260520021919,225,0,50970,2
30,1,1,2,8,0.0933647321850577,192,1,32182,2
31,1,0,1,5,0.5127939521802685,159,0,64659,0
57,1,2,4,1,0.8395337616891257,249,1,39887,2
52,1,0,3,3,0.7850547151359385,223,0,79419,1
45,1,1,2,8,0.4906512616021815,189,1,41908,2
56,0,1,4,1,0.9885121487222146,234,1,68137,0
56,1,3,0,4,0.483386191012551,199,0,52386,2
55,1,1,2,5,0.7000659725689824,243,0,60907,0
47,0,3,0,10,0.8193483756195459,227,0,43501,2
48,0,1,1,1,0.4762533061042924,204,0,38228,2
54,1,1,3,4,0.7970506210087491,233,0,56690,0
54,0,2,2,4,0.1094978122988363,181,0,99206,1
32,0,1,4,6,0.8083482975820633,229,0,63277,0
50,1,2,2,4,0.5417513455488622,184,1,47899,2
28,1,4,2,4,0.280592195488053,221,1,45710,2
48,0,3,4,4,0.5697993435703675,153,0,62429,0
55,1,1,0,1,0.4900760437387719,237,0,46051,2
46,1,2,4,2,0.0665284657293517,233,0,98551,1
42,1,4,0,6,0.3592380580502808,232,0,98112,1
47,1,0,1,10,0.1743978615603132,150,1,83328,1
27,0,1,0,8,0.0388537701958044,205,1,78586,1
52,1,2,0,10,0.878065862891652,237,0,31475,2
33,1,3,4,5,0.639531828541022,215,1,50116,2
34,1,2,1,6,0.7710801122680846,211,1,60563,0
48,0,3,0,9,0.3163187572394733,230,0,63836,0
58,1,3,2,8,0.0351459259912524,170,0,91437,1
47,0,1,3,1,0.1255320905566372,220,1,85742,1
45,0,2,1,7,0.1511176949146666,153,0,68187,0
27,1,3,2,5,0.6015691234448843,189,0,90525,1
46,1,0,2,3,0.0028440059130773,198,1,42539,2
35,1,1,1,4,0.8591138709442458,195,1,97250,1
40,1,4,2,1,0.7204774343372721,231,0,74148,0
38,0,2,1,6,0.1256890186411599,183,1,87804,1
53,1,0,2,7,0.8465984658493394,201,1,83172,1
48,1,4,2,4,0.1591831994169379,169,1,66239,0
26,1,0,4,10,0.6725883728340728,220,0,44727,2
53,1,4,4,10,0.0952166504327931,162,1,48599,2
49,1,3,1,7,0.7675784850178553,246,1,61890,0
39,1,2,0,10,0.0873069212343484,205,0,34633,2
57,1,0,2,6,0.2965213339140977,239,1,99566,1
32,0,4,0,4,0.0754900278918915,221,1,31347,2
58,1,2,3,1,0.7875047728657362,232,0,99991,1
30,1,1,3,8,0.8969251246541502,204,1,82078,1
45,0,2,2,2,0.8260198518223637,227,1,72752,0
59,1,1,3,7,0.3200965267703672,249,1,99584,1
53,0,2,3,2,0.839469354594638,234,0,34172,2
59,1,2,3,8,0.3323672613165203,156,1,66406,0
57,1,1,0,5,0.8444804424857016,219,1,41439,2
54,0,2,2,1,0.3014501213273916,217,1,56769,0
44,0,4,2,3,0.5796032328481748,222,0,43791,2
38,1,2,1,3,0.9686851668543272,232,0,94306,1
47,1,1,2,8,0.3300871766793729,162,1,93791,1
38,1,3,2,5,0.576809546419559,184,1,51349,2
28,1,4,4,2,0.8310652409269009,195,1,31015,2
48,0,1,2,9,0.6771271066054553,151,1,64407,0
51,1,1,4,6,0.010444816496314,168,1,35667,2
39,1,2,4,8,0.8645313958359793,186,1,54380,0
28,1,4,0,7,0.275060304713645,230,1,99002,1
49,0,0,0,8,0.2289579637214033,161,1,53633,2
31,1,1,1,1,0.2989316232766223,203,0,75599,0
48,0,0,4,6,0.0517875281242717,194,1,54308,0
30,0,0,3,9,0.0239511178031345,185,0,65562,0
45,0,0,0,6,0.6202523281326736,194,0,85262,1
35,0,1,2,8,0.870768279550006,174,1,68662,0
38,0,4,1,10,0.4299398484711918,195,1,90263,1
49,1,0,3,7,0.6904602348617428,198,1,57042,0
48,0,2,4,7,0.2520850711648408,232,0,48220,2
49,0,4,1,3,0.8036464311777303,175,0,58523,0
58,1,1,1,5,0.5097913428949129,169,0,42706,2
58,0,4,3,8,0.485516383078644,214,1,55141,0
27,0,0,2,1,0.3658943966195177,169,1,89082,1
36,1,2,1,6,0.5805158403937568,242,0,92977,1
43,0,0,2,4,0.5638066342176654,246,1,85800,1
36,1,3,4,8,0.0847189650483825,207,0,94151,1
41,1,4,2,2,0.1341463548593903,235,0,64691,0
41,0,0,1,4,0.9316622820918884,244,0,82011,1
40,0,0,2,1,0.5059402740573691,223,0,38691,2
28,1,2,1,8,0.4519842360218168,221,0,92597,1
57,0,3,3,4,0.870063019991485,173,1,60435,0
25,0,1,4,8,0.9525851941903404,150,1,78199,1
39,1,1,0,10,0.4750346177525851,176,1,82555,1
43,1,0,4,9,0.3065756109511023,216,1,55788,0
44,1,4,3,1,0.5390797502364367,242,1,56368,0
40,1,4,3,9,0.4727085774326522,216,1,64692,0
48,1,4,1,4,0.1935332244589965,170,1,35293,2
39,0,4,0,6,0.1964440082921865,223,0,75657,0
57,0,1,1,3,0.3837931922654971,204,0,72722,0
39,0,2,0,2,0.6256763224156635,241,0,67201,0
25,1,4,2,3,0.5102146438116488,183,1,97170,1
36,0,3,4,7,0.4805332100693907,161,0,82856,1
35,1,3,1,1,0.6365942338553944,241,0,81235,1
46,0,4,0,3,0.2804827178658748,243,0,82067,1
45,1,3,1,3,0.6147834032190523,194,1,55180,0
53,1,1,1,7,0.3108225462753972,158,1,86198,1
54,1,4,1,8,0.9340612200356794,240,1,56794,0
27,1,0,4,4,0.732572372360327,249,0,48121,2
56,0,3,4,10,0.0645355423712149,229,1,40747,2
38,0,1,0,7,0.1641706192995858,198,0,75386,0
29,1,0,1,6,0.4145641771757704,221,1,91913,1
42,0,3,0,5,0.747357566182855,221,1,31326,2
45,0,2,2,9,0.6345458169290162,173,0,75754,0
38,1,4,0,3,0.8623328959396549,184,0,44713,2
50,1,0,2,9,0.9639110982733896,210,0,64259,0
45,0,3,2,2,0.2128392232458642,220,1,77108,0
50,1,4,2,5,0.4789064020210939,200,1,33619,2
58,0,1,1,3,0.1743702887486541,210,0,42027,2
45,0,3,4,7,0.7412150794792167,222,0,91590,1
43,1,3,1,6,0.7564274269055317,230,1,30957,2
36,1,0,1,3,0.8979082114697393,213,0,37912,2
47,1,3,0,10,0.0186433227361456,167,0,39839,2
52,0,2,2,4,0.5843331932632928,163,0,44302,2
52,0,0,1,10,0.6809157826793361,215,1,99586,1
43,1,0,1,10,0.151175626283633,173,1,93970,1
55,1,4,4,9,0.1220463044265423,214,0,35486,2
52,0,1,1,7,0.5679622715994557,202,1,69506,0
28,0,3,3,5,0.1269450081013539,238,0,65409,0
30,0,3,2,7,0.9343940616124192,239,1,76601,0
43,1,4,0,10,0.769652447121744,150,0,55574,0
48,0,0,0,1,0.1257553189712769,230,1,69001,0
59,0,0,0,2,0.4885056067842929,150,0,79792,1
52,0,4,0,5,0.9999786460864069,159,0,34471,2
26,0,2,3,6,0.6380453646217108,237,1,99672,1
25,0,3,3,5,0.038929118175108,160,0,44046,2
27,0,1,0,10,0.7889238248094698,236,1,47473,2
39,0,2,1,6,0.5529886762684338,235,1,37817,2
55,1,4,1,10,0.0090087942690082,177,1,57216,0
29,1,1,3,9,0.472849732838964,182,0,47618,2
49,0,4,2,1,0.2041073818212304,218,1,70487,0
52,0,3,4,4,0.9542328450851456,229,1,51860,2
51,0,1,1,6,0.7625215362598607,179,0,39963,2
41,1,3,3,7,0.990042562957104,160,1,30706,2
40,0,1,0,7,0.0917277035985,248,0,39629,2
33,0,3,3,9,0.1057016554014333,160,0,99241,1
56,1,0,4,9,0.5731065277892952,214,0,45288,2
25,1,0,4,10,0.9702097111655816,165,1,36830,2
31,1,3,1,3,0.8924595584095214,217,0,30532,2
34,1,2,3,9,0.6443200836090768,203,0,81516,1
34,1,0,1,10,0.6993791117633571,193,0,60560,0
59,1,0,1,10,0.2573024819759059,183,1,72294,0
32,0,1,1,2,0.3230881138052778,177,0,89446,1
47,1,0,1,1,0.2763933600667677,186,1,80763,1
26,0,1,2,3,0.6867808841443525,224,0,56859,0
44,1,1,1,4,0.2975892857805765,167,1,66066,0
49,1,4,3,1,0.868744475619441,216,0,66121,0
33,1,3,4,9,0.9887871958680194,238,0,69001,0
56,1,2,2,4,0.1614306955816135,242,0,76668,0
48,1,0,0,5,0.6562418793477547,167,0,65587,0
36,0,4,2,4,0.616643814499665,195,0,74143,0
59,0,1,0,1,0.672880567634355,208,1,56843,0
41,1,3,4,9,0.8665491286535957,178,0,93351,1
53,1,3,1,3,0.517935082107338,214,1,77976,1
59,0,0,3,5,0.8365534328175742,161,0,60095,0
31,1,3,2,8,0.3551597599446017,192,0,71174,0
52,0,3,4,1,0.3703525783269578,203,1,54532,0
46,0,3,3,9,0.0397553781517717,173,0,56872,0
29,1,0,2,1,0.5980537768589096,227,1,42438,2
56,1,1,1,10,0.4048085041612221,199,0,32573,2
25,0,1,3,10,0.5852541031771342,151,0,87104,1
44,0,4,0,1,0.3792444936648629,202,1,58453,0
42,0,1,4,8,0.1493050691083656,218,0,93571,1
29,1,0,4,3,0.5931063474071039,154,0,96110,1
55,1,0,3,8,0.0708218994312831,246,1,38584,2
33,1,0,4,2,0.2442130758575019,243,0,91069,1
26,1,0,0,5,0.7962225320496449,202,0,86923,1
42,1,3,0,3,0.8804512521642701,176,1,56124,0
59,0,1,3,5,0.3306053587375467,153,1,88048,1
44,0,3,4,6,0.4177923418965106,192,1,83180,1
44,1,0,1,4,0.677653900816814,209,1,62614,0
42,1,4,0,1,0.1599890277884693,161,0,58015,0
31,1,4,0,7,0.6345247056064283,164,0,68402,0
27,1,0,2,4,0.5365094975547917,183,0,42938,2
32,1,1,0,5,0.1496820296839711,166,0,43063,2
25,0,3,0,3,0.5985107537986578,225,0,56633,0
45,0,1,4,6,0.9700350321559468,222,1,53466,2
39,0,4,0,5,0.3509512871972334,222,0,51376,2
27,0,1,3,3,0.6121133860198124,158,0,69170,0
41,1,1,3,9,0.5575405173928076,179,0,53799,2
41,0,2,4,9,0.7580009093890284,195,0,79181,1
35,0,0,0,10,0.169282622422256,195,0,49292,2
25,1,0,2,10,0.8244554216103779,153,1,39132,2
34,0,0,0,5,0.1968965755322955,239,0,66661,0
56,1,2,0,6,0.175641033152365,158,0,39619,2
37,1,1,2,10,0.1836808456723012,242,0,68411,0
44,1,0,3,3,0.4810551080310606,156,1,51776,2
52,0,1,3,2,0.7179191067182946,189,0,69246,0
32,1,2,1,3,0.8595163680479233,152,1,37525,2
55,1,3,4,7,0.8975282860305854,192,0,70411,0
52,0,4,0,6,0.0315707147561178,239,1,88770,1
44,1,1,4,5,0.838682400805847,191,0,43496,2
51,0,0,2,7,0.3648879131540359,188,0,73232,0
55,0,1,2,8,0.7079331319043227,248,1,90300,1
56,1,4,4,8,0.5994527382417407,189,0,92026,1
47,1,1,0,9,0.6211326296688876,223,0,64574,0
41,1,0,3,10,0.6932841823480376,196,0,83462,1
42,1,0,4,6,0.5654748891934641,171,1,56022,0
38,1,0,4,10,0.4543757197438444,166,0,96098,1
40,0,4,4,10,0.2880846515153893,221,0,85546,1
27,0,3,3,8,0.3633806300728299,216,0,43922,2
37,1,4,3,3,0.8110500306512897,198,1,94820,1
52,1,4,1,9,0.2343044463012269,238,1,81927,1
29,1,0,1,10,0.924621599629222,169,1,96499,1
42,1,2,2,9,0.1807998274420982,214,0,88567,1
50,1,3,0,2,0.540488894102509,228,0,70579,0
30,1,1,1,2,0.8015824338432045,193,1,48580,2
27,1,4,4,7,0.0810950212030195,155,0,31035,2
46,0,2,1,8,0.8188350547086714,218,0,74975,0
44,1,0,2,4,0.7952217315872532,168,1,56303,0
56,1,4,3,9,0.9238709752769376,158,1,58783,0
39,1,4,0,1,0.1142003191490973,200,0,62501,0
29,0,2,2,10,0.0131536224287853,246,0,48533,2
34,1,2,4,5,0.4189073675806941,188,0,49259,2
46,0,1,3,1,0.355288042663971,205,1,81226,1
26,0,3,4,3,0.3825976127488706,222,1,88625,1
45,0,4,1,3,0.3962211321495762,180,0,34457,2
44,1,3,2,6,0.8627241307168046,174,1,68525,0
37,0,2,2,5,0.5258191188359583,213,1,55540,0
35,0,2,4,9,0.7190211720107731,213,1,81006,1
58,1,2,4,5,0.5512420540013514,153,1,42453,2
38,1,3,0,4,0.1413831632770339,226,0,49977,2
38,0,2,4,5,0.9359134573891496,246,0,93085,1
49,0,2,2,10,0.8004641683163051,235,0,55399,0
42,0,1,4,8,0.6677084764306055,176,1,31816,2
33,0,3,3,7,0.4653968155630601,240,1,52063,2
53,0,0,1,2,0.8668954532697919,152,0,45784,2
46,1,4,4,6,0.4123721036284398,228,0,87016,1
25,1,2,4,5,0.1667633268086485,216,0,56757,0
28,1,0,4,5,0.3680401564681551,242,0,52164,2
48,0,1,3,7,0.8830986189155482,182,1,68280,0
25,0,2,4,2,0.0821825313449539,190,0,74810,0
27,1,4,0,8,0.6577527198706827,222,1,48299,2
33,0,1,4,9,0.9060169754478156,228,1,80805,1
42,1,2,0,4,0.1517692103960682,150,1,48126,2
46,0,3,0,7,0.6247064716893934,215,0,80586,1
43,0,0,1,8,0.153005715178056,239,0,63040,0
42,1,3,0,8,0.4173531749064154,187,0,84212,1
44,1,3,0,3,0.4581052966430636,190,1,61487,0
44,1,1,3,5,0.2715748239068898,184,0,39711,2
57,1,3,3,4,0.928593460824487,170,0,67074,0
46,1,3,0,9,0.6048047455951329,187,1,62861,0
25,0,2,3,5,0.857127378324709,197,1,62320,0
49,0,3,4,5,0.0046325572464227,241,0,31774,2
57,0,0,4,1,0.9172434999352896,241,1,58386,0
33,0,0,2,9,0.132682425395834,157,1,96779,1
34,0,3,3,3,0.4815205031751679,153,0,49699,2
45,0,4,1,8,0.6239416468801177,237,0,37520,2
35,1,2,3,1,0.9652968950627798,228,1,92364,1
36,0,4,3,1,0.3050588869298963,211,0,60355,0
30,1,3,2,4,0.4902264461643565,168,0,88814,1
41,0,1,1,1,0.0082281265262676,240,0,77259,0
29,1,0,2,8,0.2478573703598555,228,0,87516,1
27,1,4,1,2,0.0263334281851567,241,0,57712,0
39,1,3,4,4,0.7981448220213618,168,1,86404,1
56,0,1,4,1,0.7567860032562015,152,1,69350,0
32,1,1,4,2,0.355787567426447,188,1,86611,1
30,1,2,0,2,0.7645304717813176,180,0,94636,1
29,0,3,2,3,0.9310752250022212,195,0,63884,0
40,0,4,2,7,0.9365728276260455,202,0,84994,1
41,1,3,3,6,0.7453721278694397,151,0,55417,0
29,1,4,2,5,0.678314474552117,233,0,66339,0
49,0,4,3,5,0.1555593736121553,155,1,95332,1
45,0,3,3,2,0.3545242368460449,175,0,83449,1
32,0,0,2,4,0.5892435891630338,215,0,45156,2
58,0,3,4,10,0.549457382639754,228,1,32741,2
50,0,4,2,7,0.3437590979350646,194,0,87163,1
58,0,2,4,3,0.6646436616626413,209,0,66440,0
59,1,4,2,5,0.1406938168915369,216,0,33042,2
39,0,1,0,5,0.5294515597842143,214,0,67199,0
27,1,4,3,5,0.4209511945155827,246,1,65798,0
50,1,3,4,8,0.5180495834518767,192,1,51468,2
49,1,2,1,9,0.351508974073736,193,0,95529,1
35,0,1,4,7,0.0018202886542839,182,1,53608,2
55,1,3,0,9,0.2530729450635121,243,1,68459,0
36,0,4,1,8,0.4642889220236307,169,0,35430,2
37,0,3,0,3,0.7933570362775519,158,0,34234,2
45,0,3,3,4,0.6746731613936481,173,0,47576,2
59,0,3,2,8,0.3032872007440853,185,0,48379,2
54,1,3,2,6,0.8830827690376937,192,1,90878,1
35,1,0,3,9,0.6582991423349401,177,1,95330,1
35,0,0,1,7,0.213662888795487,249,1,92100,1
46,0,0,1,5,0.7903140122362532,156,0,78569,1
58,0,0,0,10,0.3528702751332145,207,0,81636,1
